ID,aCO2-1,aCO2-2,aCO2-3,aCO2-4,aCO2-5,aCO2-6,eCO2-1,eCO2-2,eCO2-3,eCO2-4,eCO2-5,eCO2-6
PhoD_ASV36,0.005465555,0.004836427,0.007706826,0.006251966,0.003420887,0.003774772,0.003499528,0.00290972,0.002280591,0.002555835,0.003460208,0.006094684
PhoD_ASV86,0.002477194,0.004089336,0.00290972,0.002516515,0.00220195,0.002437874,0.006409248,0.00578012,0.005190311,0.006330607,0.006684492,0.005662158
PhoD_ASV93,0.00220195,0.004954388,0.003578169,0.007746147,0.00652721,0.006448569,0.002634476,0.003302925,0.002555835,0.002044668,0.003224284,0.007117018
PhoD_ASV34,0.00581944,0.003853413,0.003696131,0.00365681,0.002634476,0.00436458,0.002831079,0.002870399,0.004875747,0.003853413,0.004639824,0.002870399
PhoD_ASV50,0.004285939,0.003184964,0.00652721,0.004521862,0.003302925,0.003499528,0.002988361,0.003381567,0.005033029,0.002555835,0.004207298,0.004482542
PhoD_ASV111,0.002083989,0.005386914,0.005544196,0.004757785,0.002437874,0.004639824,0.003814092,0.003381567,0.005268953,0.005229632,0.003224284,0.004010695
PhoD_ASV58,0.003263605,0.003342246,0.003892734,0.004757785,0.002988361,0.004128657,0.002319912,0.003106323,0.003932054,0.004679144,0.004167977,0.002713117
PhoD_ASV74,0.002791758,0.00220195,0.003774772,0.00361749,0.004915068,0.003892734,0.003027682,0.005937402,0.002713117,0.003892734,0.004010695,0.00361749
PhoD_ASV52,0.004207298,0.003696131,0.004128657,0.004718465,0.004010695,0.002673797,0.003460208,0.002398553,0.004797106,0.003263605,0.00436458,0.001690783
PhoD_ASV100,0.002123309,0.00432526,0.010734508,0.004285939,0.001887386,0.00290972,0.003499528,0.003067002,0.003420887,0.001218937,0.002595156,0.004010695
PhoD_ASV48,0.004757785,0.004167977,0.003420887,0.003971375,0.003342246,0.004639824,0.002123309,0.001730104,0.003696131,0.00365681,0.003696131,0.001887386
PhoD_ASV73,0.002516515,0.007785467,0.00290972,0.002752438,0.006134004,0.003145643,0.003106323,0.001533501,0.003302925,0.002555835,0.002437874,0.004915068
PhoD_ASV43,0.004993709,0.003892734,0.00581944,0.003853413,0.00432526,0.00436458,0.001572822,0.002516515,0.001730104,0.00220195,0.001966027,0.002791758
PhoD_ASV69,0.002752438,0.006134004,0.001926707,0.004993709,0.003735451,0.004285939,0.003538849,0.002241271,0.00290972,0.002083989,0.003224284,0.004679144
PhoD_ASV81,0.002437874,0.004836427,0.003027682,0.004443221,0.004797106,0.004050016,0.002555835,0.005701478,0,0.003892734,0.003067002,0.002949041
PhoD_ASV153,0.001572822,0.003027682,0.001494181,0.001179616,0.000825731,0.002359232,0.006409248,0.003460208,0.004679144,0.004639824,0.003381567,0.009004404
