"","LYL1","LYL2","LYL3","LYL4","LYL5","LYL6","Abundance","Type","phylum","class","order","family","genus","species"
"ASV2046",0.001145968,0,0,0,0.000286492,0,0.000238743,"Pro","p__Cercozoa","c__Endomyxa","o__Vampyrellida","f__Vampyrellida_X","g__unclassified_f__Vampyrellida_X","s__unclassified_f__Vampyrellida_X"
"ASV3263",0,0,0,0,0,0.001862197,0.000310366,"Pro","p__Conosa","c__Variosea","o__Variosea_X","f__unclassified_o__Variosea_X","g__unclassified_o__Variosea_X","s__unclassified_o__Variosea_X"
"ASV860",0,0,0,0.005013608,0.0053001,0,0.001718951,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Cercomonadida","f__Cercomonadidae","g__Eocercomonas","s__Eocercomonas_ramosa"
"ASV175",0.006159576,0.003294657,0.002864919,0.002005443,0.001145968,0.001145968,0.002769422,"Pro","p__unclassified_k__Opisthokonta","c__unclassified_k__Opisthokonta","o__unclassified_k__Opisthokonta","f__unclassified_k__Opisthokonta","g__unclassified_k__Opisthokonta","s__unclassified_k__Opisthokonta"
"ASV2310",0.001718951,0,0,0,0,0,0.000286492,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Cercomonadida","f__Cercomonadidae","g__Neocercomonas","s__Neocercomonas_jutlandica"
"ASV270",0,0,0.00143246,0,0,0,0.000238743,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Glissomonadida","f__Allapsidae","g__Group-Te","s__Group-Te_sp."
"ASV2934",0,0.006302822,0,0,0,0,0.00105047,"Pro","p__Lobosa","c__Tubulinea","o__Echinamoebida","f__Vermamoebidae","g__unclassified_f__Vermamoebidae","s__unclassified_f__Vermamoebidae"
"ASV1820",0,0,0,0,0.005013608,0.001575705,0.001098219,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Glissomonadida","f__unclassified_o__Glissomonadida","g__unclassified_o__Glissomonadida","s__unclassified_o__Glissomonadida"
"ASV166",0,0.002864919,0.003437903,0,0.003151411,0.00071623,0.001695077,"Pro","p__Conosa","c__Variosea","o__Variosea_X","f__Phalansteriidae","g__Phalansterium","s__Phalansterium_sp."
"ASV1424",0,0,0,0,0.001862197,0,0.000310366,"Pro","p__unclassified_k__Opisthokonta","c__unclassified_k__Opisthokonta","o__unclassified_k__Opisthokonta","f__unclassified_k__Opisthokonta","g__unclassified_k__Opisthokonta","s__unclassified_k__Opisthokonta"
"ASV2305",0.002005443,0,0,0,0,0,0.000334241,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Cercomonadida","f__Cercomonadidae","g__Cercomonas","s__Cercomonas_plasmodialis"
"ASV321",0,0.006302822,0.000859476,0,0,0.00071623,0.001313088,"Pro","p__Conosa","c__Variosea","o__Variosea_X","f__Variosea_XX","g__Variosea_XXX","s__Variosea_XXX_sp."
"ASV120",0.008308265,0.004010887,0.003151411,0.007162298,0,0.001002722,0.003939264,"Pro","p__Ciliophora","c__Colpodea","o__Platyophryida","f__Platyophryidae","g__Platyophrya","s__unclassified_g__Platyophrya"
"ASV2349",0.001145968,0,0,0,0,0,0.000190995,"Pro","p__Lobosa","c__Tubulinea","o__Nolandida","f__Nolandellidae","g__Nolandellidae_X","s__Nolandellidae_X_sp."
"ASV445",0,0.000286492,0.000572984,0.000859476,0.002291935,0.000143246,0.000692355,"Pro","p__Apicomplexa","c__Apicomplexa_X","o__Coccidia","f__Eucoccidiorida","g__Cryptosporidium","s__Cryptosporidium_struthionis"
"ASV879",0,0.008594757,0,0.002291935,0,0.002578427,0.002244187,"Pro","p__Lobosa","c__Tubulinea","o__Echinamoebida","f__Vermamoebidae","g__Hartmannella","s__Hartmannella_sp."
"ASV4622",0,0.001718951,0,0,0,0,0.000286492,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Glissomonadida","f__Sandonidae","g__unclassified_f__Sandonidae","s__unclassified_f__Sandonidae"
