"","LYL1","LYL2","LYL3","LYL4","LYL5","LYL6"
"ASV270",0,0,0.00143246,0,0,0
"ASV2934",0,0.006302822,0,0,0,0
"ASV1820",0,0,0,0,0.005013608,0.001575705
"ASV115",0.003867641,0.010170463,0.004010887,0.003151411,0.00601633,0.001575705
"ASV166",0,0.002864919,0.003437903,0,0.003151411,0.00071623
"ASV161",0,0.001575705,0.002721673,0,0,0.001145968
"ASV1424",0,0,0,0,0.001862197,0
"ASV2305",0.002005443,0,0,0,0,0
"ASV222",0,0,0.002005443,0,0.002578427,0.001718951
"ASV321",0,0.006302822,0.000859476,0,0,0.00071623
"ASV120",0.008308265,0.004010887,0.003151411,0.007162298,0,0.001002722
"ASV2349",0.001145968,0,0,0,0,0
"ASV445",0,0.000286492,0.000572984,0.000859476,0.002291935,0.000143246
"ASV879",0,0.008594757,0,0.002291935,0,0.002578427
"ASV4622",0,0.001718951,0,0,0,0
"ASV1037",0,0,0,0.001145968,0,0
"ASV4591",0,0.004727116,0,0,0,0
"ASV61",0,0.00673256,0.006302822,0.008881249,0.008165019,0.004154133
"ASV706",0.001289214,0,0,0.000572984,0.000286492,0
"ASV3265",0,0,0,0,0,0.001145968
"ASV66",0.009167741,0.009597479,0.007019052,0.003437903,0.006302822,0.003437903
"ASV4590",0,0.007019052,0,0,0,0
"ASV228",0.002291935,0.02549778,0.001718951,0.002435181,0.003151411,0.001145968
"ASV2330",0.001289214,0,0,0,0,0
"ASV303",0,0,0.001002722,0,0,0
"ASV124",0.003724395,0.005443346,0.003724395,0.004154133,0.004727116,0.001575705
"ASV1077",0,0,0,0.000859476,0.000859476,0.000429738
"ASV2354",0.001002722,0,0,0,0,0
"ASV547",0,0.000286492,0.000286492,0.000429738,0,0
"ASV968",0,0,0,0.00143246,0,0.001289214
"ASV492",0,0.000859476,0.000429738,0,0,0.000286492
"ASV1853",0,0,0,0,0.001289214,0
"ASV2345",0.001145968,0,0,0,0,0
"ASV541",0,0,0.000286492,0.001002722,0,0.000429738
"ASV922",0,0,0,0.002291935,0,0
"ASV2341",0.001145968,0.001145968,0,0,0,0
"ASV944",0.00143246,0,0,0.001575705,0.000429738,0
"ASV1982",0,0.00071623,0,0,0.000429738,0.001145968
"ASV475",0,0,0.000572984,0.000286492,0,0.000429738
"ASV147",0,0.001718951,0.003008165,0,0,0
"ASV1919",0.002578427,0,0,0,0.000429738,0
"ASV925",0,0,0,0.001862197,0.001289214,0
"ASV2267",0.004583871,0,0,0,0,0.003867641
"ASV2371",0.001002722,0,0,0,0,0
"ASV1136",0,0,0,0.000429738,0.000429738,0.000143246
"ASV89",0.00143246,0.000429738,0.005586592,0.001289214,0.000286492,0.001145968
"ASV2275",0.003294657,0,0,0,0,0
"ASV207",0.005443346,0.001575705,0.001718951,0.00601633,0.002291935,0.001862197
"ASV266",0,0.001002722,0.001718951,0.002291935,0.002005443,0.001002722
"ASV224",0.004870362,0.001718951,0.001862197,0.00744879,0.009597479,0.001575705
"ASV861",0,0,0,0.004010887,0,0
"ASV1507",0,0.000286492,0,0,0,0.00071623
