"","LYL7","LYL8","LYL9","LYL10","LYL11","LYL12","Abundance","Type","phylum","class","order","family","genus","species"
"ASV194",0,0,0,0.001179616,0.001022334,0,0.000366992,"phoD","p__unclassified_d__Bacteria","c__unclassified_d__Bacteria","o__unclassified_d__Bacteria","f__unclassified_d__Bacteria","g__unclassified_d__Bacteria","s__uncultured_bacterium"
"ASV591",0.002477194,0,0,0,0.000471846,0,0.000491507,"phoD","p__unclassified_d__Bacteria","c__unclassified_d__Bacteria","o__unclassified_d__Bacteria","f__unclassified_d__Bacteria","g__unclassified_d__Bacteria","s__uncultured_bacterium"
"ASV549",0.000786411,0.001140296,0,0.000589808,0.000511167,0.000235923,0.000543934,"phoD","p__unclassified_d__Bacteria","c__unclassified_d__Bacteria","o__unclassified_d__Bacteria","f__unclassified_d__Bacteria","g__unclassified_d__Bacteria","s__uncultured_bacterium"
"ASV349",0.000235923,0.00070777,0.000353885,0.00074709,7.86e-05,0.000904372,0.000504607,"phoD","p__unclassified_d__Bacteria","c__unclassified_d__Bacteria","o__unclassified_d__Bacteria","f__unclassified_d__Bacteria","g__unclassified_d__Bacteria","s__uncultured_bacterium"
"ASV755",0.000275244,0.000235923,0.000353885,0.000904372,0.00074709,0.00070777,0.000537381,"phoD","p__unclassified_d__Bacteria","c__unclassified_d__Bacteria","o__unclassified_d__Bacteria","f__unclassified_d__Bacteria","g__unclassified_d__Bacteria","s__uncultured_bacterium"
"ASV3242",0,0.002516515,0,0,0.002005348,0.000904372,0.000904373,"phoD","p__unclassified_d__Bacteria","c__unclassified_d__Bacteria","o__unclassified_d__Bacteria","f__unclassified_d__Bacteria","g__unclassified_d__Bacteria","s__uncultured_bacterium"
"ASV455",0,0.001022334,0,0,0.000550488,0.000275244,0.000308011,"phoD","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae","g__Sinorhizobium","s__Sinorhizobium_sp._CCBAU_05631"
"ASV306",0.00074709,0,0.001808745,0,0.000589808,0,0.000524274,"phoD","p__unclassified_d__Bacteria","c__unclassified_d__Bacteria","o__unclassified_d__Bacteria","f__unclassified_d__Bacteria","g__unclassified_d__Bacteria","s__uncultured_bacterium"
"ASV393",0,0,0,0,0.001966027,0.000471846,0.000406312,"phoD","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Bradyrhizobiaceae","g__Bradyrhizobium","s__Bradyrhizobium_sp._SK17"
"ASV769",0,0.001415539,0,0,0,0,0.000235923,"phoD","p__Actinobacteria_d__Bacteria","c__Actinobacteria_p__Actinobacteria","o__Streptosporangiales","f__Nocardiopsaceae","g__Nocardiopsis","s__Nocardiopsis_dassonvillei"
