"","LYL7","LYL8","LYL9","LYL10","LYL11","LYL12"
"ASV931",0.000314564,0.000196603,0.000157282,0.000235923,0.000275244,0
"ASV6375",0.000117962,0,0.000668449,0,0.000865052,0
"ASV2424",0.00070777,0,0.000471846,0,0,0
"ASV1434",0,0.000235923,0.000589808,0.000196603,0.000589808,0
"ASV4891",0,0.000786411,0,0.000117962,0.000275244,0.000196603
"ASV3262",0.000196603,0,0.000157282,0.000157282,0.000314564,0.000314564
"ASV7512",0,0,0.001848065,0,0,0
"ASV9261",0,0,0,0.001572822,0,0
"ASV3302",0,0,0,0.000235923,0.000393205,0.000393205
"ASV3256",0,0,0.000550488,0,0.000511167,0
"ASV4883",0,0.00074709,0,0,0.000196603,0.000235923
"ASV3515",0.000393205,0,0.000275244,0.000275244,0.000157282,0
"ASV4837",0,0,0.000314564,0,0.000353885,0.00070777
"ASV4840",0.000983014,0,0,0,0,0.000668449
"ASV8769",0,0.000393205,0,0.001179616,0,0
"ASV1977",0,0,0.000275244,0.000511167,0.000471846,0.000117962
"ASV8749",0,0.001415539,0,0,0,0
"ASV6376",0,0.000393205,0,0,0.000786411,0
"ASV2175",0.000629129,7.86e-05,0,0.000235923,0.000157282,0.000117962
"ASV2733",0,0,0,0,7.86e-05,0.001297578
"ASV1214",0.000275244,0.000157282,0.000314564,0.000196603,0,0.000157282
"ASV8074",0.000668449,0,0,0.000825731,0,0
"ASV8062",0.001612142,0,0,0,0,0
"ASV7054",0.00070777,0.000550488,0,0,0,0
"ASV3402",0,0,0,0.001061655,0,0
"ASV7514",0,0,0.001061655,0,0,0
"ASV4838",0,0,0.000511167,0,0,0.000668449
"ASV1595",0.000196603,0.000511167,0,0.000314564,0,0
"ASV9262",0,0,0,0.001179616,0,0
"ASV4818",0,0,0,0,0,0.001179616
"ASV7521",0,0.000629129,0.00070777,0,0,0
"ASV9263",0,0,0,0.001022334,0,0
"ASV6484",0,0.000314564,0.000589808,0,0.000157282,0
"ASV7519",0.000353885,0,0.000983014,0,0,0
"ASV4860",0,0,0,0,0.000589808,0.000432526
"ASV7515",0,0,0.001179616,0,0,0
"ASV8773",0,0.000471846,0,0.00070777,0,0
"ASV8751",0,0.001061655,0,0,0,0
"ASV7516",0,0,0.001061655,0,0,0
"ASV8065",0.001140296,0,0,0,0,0
"ASV8067",0.001140296,0,0,0,0,0
"ASV8066",0.001140296,0,0,0,0,0
"ASV8754",0,0.001100975,0,0,0,0
"ASV4824",0,0,0,0,0,0.001022334
"ASV8068",0.001179616,0,0,0,0,0
"ASV7561",0,0.000157282,0.000353885,0.000550488,0,0
"ASV8069",0.001022334,0,0,0,0,0
"ASV9265",0,0,0,0.001022334,0,0
