	LYL7	LYL8	LYL9	LYL10	LYL11	LYL12
ASV2633	0.001145968	0	0.00143246	0	0	0.000286492
ASV2430	0	0	0	0	0	0
ASV4059	0	0	0.00071623	0	0	0
ASV1365	0.002864919	0.004870362	0	0	0	0.00071623
ASV1446	0.00071623	0.000859476	0	0	0	0
ASV1221	0	0	0	0	0	0
ASV1924	0	0	0	0	0	0
ASV2878	0.000143246	0	0	0	0	0
ASV2224	0	0	0	0	0	0
ASV3909	0	0	0	0	0	0.000143246
ASV589	0.001002722	0	0	0	0	0.000572984
ASV3366	0	0	0	0	0	0
ASV3278	0	0	0	0	0	0
ASV2488	0	0	0	0	0	0
ASV3619	0	0	0	0	0	0.007592036
ASV3750	0	0	0	0	0	0.000429738
ASV1775	0	0.000143246	0	0	0	0
ASV2144	0	0	0	0	0	0
ASV2622	0.001002722	0	0	0	0	0
ASV4812	0	0	0	0	0	0
ASV498	0	0	0.000143246	0	0	0
ASV2584	0.001289214	0	0	0	0	0
ASV4602	0	0	0	0	0	0
ASV3307	0	0	0	0	0	0
ASV3401	0	0	0	0	0	0
ASV1946	0	0	0	0	0	0
ASV2754	0.000286492	0	0	0	0	0
ASV1388	0	0.003294657	0	0	0	0
ASV1913	0	0	0	0.000143246	0	0
ASV4613	0	0	0	0	0	0
ASV3466	0	0	0	0	0.000143246	0
ASV1847	0.000859476	0	0	0.001289214	0	0.001145968
ASV1080	0	0	0	0	0	0
ASV1462	0	0.001002722	0	0	0.001145968	0
ASV2786	0.000286492	0	0	0	0	0
ASV4376	0	0	0	0	0.000572984	0
ASV4416	0	0	0	0	0.000286492	0
ASV995	0	0	0.002005443	0	0	0
ASV4008	0	0	0.001002722	0	0	0
ASV3857	0	0	0	0	0	0.000286492
ASV672	0	0.000286492	0	0	0	0
ASV4047	0	0	0.000429738	0	0	0
ASV2857	0.000286492	0	0	0	0	0
ASV2388	0	0	0	0	0	0
ASV4865	0	0	0	0	0	0
ASV676	0	0	0	0	0	0
ASV3793	0	0	0	0	0	0.000286492
ASV2461	0	0	0	0.001145968	0	0
ASV4101	0	0	0.000143246	0	0	0
ASV3989	0	0	0.001145968	0	0	0
ASV3210	0	0	0	0.000286492	0	0
ASV2071	0	0	0	0	0	0
ASV1190	0	0	0	0	0	0
ASV1884	0	0	0	0	0	0
ASV920	0	0	0	0	0	0
ASV1398	0.00143246	0.002721673	0	0	0.00143246	0.001002722
ASV250	0	0	0	0	0	0.001002722
ASV932	0	0	0	0	0.000429738	0.001289214
ASV4886	0	0	0	0	0	0
ASV2939	0	0	0	0.001718951	0	0
ASV980	0.001575705	0.00071623	0.001289214	0.003581149	0.000572984	0.001862197
ASV2565	0.003724395	0	0	0	0.001575705	0
ASV4337	0	0	0	0	0.000429738	0
ASV4248	0	0	0	0	0.002291935	0
