"","LYL7","LYL8","LYL9","LYL10","LYL11","LYL12","Abundance","Type","phylum","class","order","family","genus","species"
"ASV389",0,0,0,0,0.001145968,0,0.000190995,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Cercomonadida","f__Paracercomonadidae","g__Paracercomonas","s__Paracercomonas_vonderheydeni"
"ASV2961",0,0,0,0.001145968,0,0,0.000190995,"Pro","p__Ciliophora","c__Oligohymenophorea","o__Scuticociliatia","f__Scuticociliatia_X","g__Scuticociliatia_XX","s__Scuticociliatia_XX_sp."
"ASV298",0.002148689,0.002005443,0.001862197,0.00071623,0.001718951,0.001862197,0.001718951,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Cercomonadida","f__Cercomonadidae","g__Neocercomonas","s__Neocercomonas_jutlandica"
"ASV1498",0,0.001002722,0,0,0,0,0.00016712,"Pro","p__Cercozoa","c__unclassified_p__Cercozoa","o__unclassified_p__Cercozoa","f__unclassified_p__Cercozoa","g__unclassified_p__Cercozoa","s__unclassified_p__Cercozoa"
"ASV3644",0,0,0,0,0,0.002721673,0.000453612,"Pro","p__Ciliophora","c__Colpodea","o__Colpodida","f__Colpodidae","g__unclassified_f__Colpodidae","s__unclassified_f__Colpodidae"
"ASV4249",0,0,0,0,0.002005443,0,0.000334241,"Pro","p__Conosa","c__Variosea","o__Variosea_X","f__Variosea_XX","g__Variosea_XXX","s__Variosea_XXX_sp."
"ASV455",0.002864919,0,0.00071623,0,0,0.002435181,0.001002722,"Pro","p__Lobosa","c__Tubulinea","o__Euamoebida","f__LOS7NI-lineage","g__LOS7NI-lineage_X","s__LOS7NI-lineage_X_sp."
"ASV3972",0,0,0.00143246,0,0,0,0.000238743,"Pro","p__unclassified_k__Opisthokonta","c__unclassified_k__Opisthokonta","o__unclassified_k__Opisthokonta","f__unclassified_k__Opisthokonta","g__unclassified_k__Opisthokonta","s__unclassified_k__Opisthokonta"
"ASV2563",0.003008165,0,0,0,0,0,0.000501361,"Pro","p__Cercozoa","c__unclassified_p__Cercozoa","o__unclassified_p__Cercozoa","f__unclassified_p__Cercozoa","g__unclassified_p__Cercozoa","s__unclassified_p__Cercozoa"
"ASV3949",0,0,0.002005443,0,0,0,0.000334241,"Pro","p__Ciliophora","c__Spirotrichea","o__Hypotrichia","f__Oxytrichidae","g__Gonostomum","s__Gonostomum_strenuum"
"ASV320",0,0.002291935,0.002005443,0.00143246,0.001718951,0.000859476,0.001384711,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Cercomonadida","f__Paracercomonadidae","g__Paracercomonas","s__Paracercomonas_sp."
"ASV2906",0,0,0,0.004154133,0,0.002864919,0.001169842,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Cercomonadida","f__Cercomonadidae","g__Cercomonas","s__Cercomonas_longicauda"
"ASV365",0,0.001575705,0,0,0,0,0.000262618,"Pro","p__Cercozoa","c__Filosa-Thecofilosea","o__Cryomonadida","f__Rhogostoma-lineage","g__Rhogostoma-lineage_X","s__Rhogostoma-lineage_X_sp."
"ASV1031",0,0,0,0.001002722,0,0.002435181,0.000572984,"Pro","p__Ciliophora","c__Colpodea","o__Platyophryida","f__unclassified_o__Platyophryida","g__unclassified_o__Platyophryida","s__unclassified_o__Platyophryida"
"ASV3998",0,0,0.001145968,0,0,0,0.000190995,"Pro","p__Cercozoa","c__unclassified_p__Cercozoa","o__unclassified_p__Cercozoa","f__unclassified_p__Cercozoa","g__unclassified_p__Cercozoa","s__unclassified_p__Cercozoa"
"ASV4324",0,0,0,0,0.001002722,0,0.00016712,"Pro","p__Lobosa","c__Lobosa-G1","o__Lobosa-G1_X","f__Lobosa-G1_XX","g__Lobosa-G1_XXX","s__Lobosa-G1_XXX_sp."
"ASV2943",0,0,0,0.00143246,0,0,0.000238743,"Pro","p__Ciliophora","c__Colpodea","o__Colpodida","f__Colpodidae","g__Colpodidae_X","s__Colpodidae_X_sp."
"ASV2968",0,0,0,0.001002722,0,0,0.00016712,"Pro","p__Cercozoa","c__unclassified_p__Cercozoa","o__unclassified_p__Cercozoa","f__unclassified_p__Cercozoa","g__unclassified_p__Cercozoa","s__unclassified_p__Cercozoa"
"ASV1378",0,0.003151411,0,0,0,0,0.000525235,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Glissomonadida","f__Sandonidae","g__Neoheteromita","s__unclassified_g__Neoheteromita"
"ASV2627",0.001145968,0,0,0,0,0,0.000190995,"Pro","p__Cercozoa","c__Filosa-Sarcomonadea","o__Cercomonadida","f__Cercomonadidae","g__Eocercomonas","s__unclassified_g__Eocercomonas"
"ASV1819",0,0,0.003724395,0,0,0,0.000620732,"Pro","p__Conosa","c__Variosea","o__Variosea_X","f__AND16-lineage","g__AND16-lineage_X","s__AND16-lineage_X_sp."
"ASV54",0.007019052,0.005586592,0.007019052,0.008021773,0.018621974,0.002005443,0.008045648,"Pro","p__Lobosa","c__Tubulinea","o__Echinamoebida","f__Vermamoebidae","g__unclassified_f__Vermamoebidae","s__unclassified_f__Vermamoebidae"
