"","LYL7","LYL8","LYL9","LYL10","LYL11","LYL12"
"ASV267",0,0.002578427,0.002291935,0.001862197,0.001145968,0.001289214
"ASV2607",0.001145968,0,0.004440625,0,0.002005443,0.001002722
"ASV2980",0,0,0,0.001289214,0,0
"ASV39",0.003008165,0,0,0,0,0
"ASV3999",0,0,0.00143246,0,0,0
"ASV86",0.003581149,0.004870362,0.005443346,0.006446068,0.003867641,0.015613809
"ASV225",0.001575705,0,0.002148689,0.002291935,0.003008165,0
"ASV3987",0,0,0.001002722,0,0,0
"ASV73",0.005156854,0.008738003,0.012462398,0.00673256,0.011173184,0.005156854
"ASV1478",0,0.000572984,0,0,0,0.002291935
"ASV1474",0,0.001145968,0,0,0,0
"ASV2599",0.00143246,0,0,0,0.000859476,0
"ASV899",0.000286492,0,0,0.001145968,0,0
"ASV3661",0,0,0,0,0,0.001289214
"ASV78",0,0,0.002148689,0.008738003,0.004154133,0
"ASV2967",0,0,0.001862197,0.00143246,0,0
"ASV7",0.026357255,0.026500501,0.036957456,0.021486893,0.022776107,0.013035382
"ASV2595",0.001575705,0,0,0,0,0
"ASV3803",0,0,0,0,0.001862197,0.000286492
"ASV1845",0,0,0.001575705,0,0,0
"ASV10",0.027216731,0.044549491,0.042544048,0.014467841,0.033806045,0.02334909
"ASV1012",0.000286492,0.002291935,0.001002722,0.00071623,0.001718951,0
"ASV56",0.008881249,0.006875806,0.006159576,0.006159576,0.008594757,0.050565822
"ASV3652",0,0,0,0,0,0.002291935
"ASV23",0.009883971,0.01203266,0.012605644,0.011459676,0.013751612,0.009024495
"ASV4258",0,0,0,0,0.00143246,0
"ASV3953",0,0,0.001718951,0,0,0
"ASV2257",0.003437903,0,0,0,0.003008165,0
"ASV3013",0,0,0,0.001002722,0,0
"ASV2651",0.000572984,0,0,0.000572984,0,0
"ASV4257",0,0,0,0,0.00143246,0
"ASV1930",0,0,0,0,0.001002722,0.001289214
"ASV3632",0,0,0,0,0,0.002721673
"ASV3649",0,0,0,0,0,0.00143246
"ASV11",0.028362699,0.010313709,0.014611087,0.02406532,0.015900301,0.031084372
"ASV137",0.008308265,0.001862197,0.004154133,0.003008165,0.005729838,0.006302822
"ASV864",0,0.001289214,0,0,0,0
