	LYL7	LYL8	LYL9	LYL10	LYL11	LYL12	Abundance	Type	phylum	class	order	family	genus	species
ASV509	0	0	0.000859476	0.000572984	0	0.000286492	0.000286492	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Cercomonadida	f__Cercomonadidae	g__Cercomonadidae_X	s__Cercomonadidae_X_sp.
ASV4062	0	0	0.000572984	0	0.000429738	0	0.00016712	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Glissomonadida	f__Glissomonadida_X	g__Glissomonadida_XX	s__Glissomonadida_XX_sp.
ASV2670	0.000859476	0	0	0	0	0	0.000143246	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Cercomonadida	f__Paracercomonadidae	g__Paracercomonas	s__unclassified_g__Paracercomonas
ASV562	0	0	0	0	0	0	0	Pro	p__Lobosa	c__Tubulinea	o__Nolandida	f__Nolandellidae	g__Nolandellidae_X	s__Nolandellidae_X_sp.
ASV1599	0	0.000429738	0	0	0	0	7.1623E-05	Pro	p__unclassified_k__Opisthokonta	c__unclassified_k__Opisthokonta	o__unclassified_k__Opisthokonta	f__unclassified_k__Opisthokonta	g__unclassified_k__Opisthokonta	s__unclassified_k__Opisthokonta
ASV409	0	0	0	0	0	0	0	Pro	p__Conosa	c__Variosea	o__Variosea_X	f__Filamoebidae	g__Filamoeba	s__Filamoeba_sinensis
ASV403	0.001575705	0.00071623	0	0	0	0.000429738	0.000453612	Pro	p__Conosa	c__Variosea	o__Variosea_X	f__AND16-lineage	g__AND16-lineage_X	s__AND16-lineage_X_sp.
ASV1096	0	0	0	0	0	0	0	Pro	p__Cercozoa	c__Filosa-Thecofilosea	o__Cryomonadida	f__unclassified_o__Cryomonadida	g__unclassified_o__Cryomonadida	s__unclassified_o__Cryomonadida
ASV4342	0	0	0	0	0.000286492	0	4.77487E-05	Pro	p__Cercozoa	c__Filosa-Granofilosea	o__Filosa-Granofilosea_X	f__Novel-Gran-6	g__Novel-Gran-6_X	s__Novel-Gran-6_X_sp.
ASV4597	0	0	0	0	0	0	0	Pro	p__Lobosa	c__Tubulinea	o__Leptomyxida	f__Flabellulidae	g__Flabellula	s__Flabellula_citata
ASV4802	0	0	0	0	0	0	0	Pro	p__Cercozoa	c__Cercozoa_X	o__Cercozoa_XX	f__Cercozoa_XXX	g__Cercozoa_XXXX	s__Cercozoa_XXXX_sp.
ASV1639	0	0.000286492	0	0	0	0	4.77487E-05	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Cercomonadida	f__Paracercomonadidae	g__Paracercomonas	s__Paracercomonas_virgaria
ASV382	0	0	0	0	0	0	0	Pro	p__Cercozoa	c__unclassified_p__Cercozoa	o__unclassified_p__Cercozoa	f__unclassified_p__Cercozoa	g__unclassified_p__Cercozoa	s__unclassified_p__Cercozoa
ASV552	0	0	0	0	0	0	0	Pro	p__Lobosa	c__Tubulinea	o__Nolandida	f__Nolandellidae	g__Nolandellidae_X	s__Nolandellidae_X_sp.
ASV4771	0	0	0	0	0	0	0	Pro	p__Ciliophora	c__unclassified_p__Ciliophora	o__unclassified_p__Ciliophora	f__unclassified_p__Ciliophora	g__unclassified_p__Ciliophora	s__unclassified_p__Ciliophora
ASV471	0	0	0.000286492	0.00071623	0	0	0.00016712	Pro	p__Ciliophora	c__Oligohymenophorea	o__unclassified_c__Oligohymenophorea	f__unclassified_c__Oligohymenophorea	g__unclassified_c__Oligohymenophorea	s__unclassified_c__Oligohymenophorea
ASV1834	0	0	0	0	0	0	0	Pro	p__Ciliophora	c__Colpodea	o__Cyrtolophosidida	f__Cyrtolophosididae	g__Cyrtolophosididae_X	s__Cyrtolophosididae_X_sp.
ASV4760	0	0	0	0	0	0	0	Pro	p__Cercozoa	c__unclassified_p__Cercozoa	o__unclassified_p__Cercozoa	f__unclassified_p__Cercozoa	g__unclassified_p__Cercozoa	s__unclassified_p__Cercozoa
ASV1470	0	0.001002722	0	0	0	0	0.00016712	Pro	p__Lobosa	c__Tubulinea	o__Euamoebida	f__LOS7NI-lineage	g__LOS7NI-lineage_X	s__LOS7NI-lineage_X_sp.
ASV3516	0	0	0	0	0	0	0	Pro	p__Ciliophora	c__Oligohymenophorea	o__Scuticociliatia	f__Scuticociliatia_X	g__Scuticociliatia_XX	s__Scuticociliatia_XX_sp.
ASV2823	0.000143246	0	0	0	0	0	2.38743E-05	Pro	p__Lobosa	c__Tubulinea	o__Euamoebida	f__LOS7NI-lineage	g__unclassified_f__LOS7NI-lineage	s__unclassified_f__LOS7NI-lineage
ASV3556	0	0	0	0	0	0	0	Pro	p__Cercozoa	c__Endomyxa	o__Vampyrellida	f__Vampyrellida_X	g__Thalassomyxa	s__Thalassomyxa_sp.
ASV3896	0	0	0	0	0	0.000286492	4.77487E-05	Pro	p__Conosa	c__Variosea	o__Variosea_X	f__Phalansteriidae	g__Phalansterium	s__unclassified_g__Phalansterium
ASV1387	0	0.003151411	0	0	0	0	0.000525235	Pro	p__Ciliophora	c__Colpodea	o__Colpodida	f__Colpodidae	g__unclassified_f__Colpodidae	s__unclassified_f__Colpodidae
ASV1579	0	0.000572984	0	0	0	0	9.54973E-05	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Cercomonadida	f__Cercomonadidae	g__Cercomonadidae_X	s__Cercomonadidae_X_sp.
ASV4480	0	0	0	0	0.000143246	0	2.38743E-05	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Glissomonadida	f__Sandonidae	g__unclassified_f__Sandonidae	s__unclassified_f__Sandonidae
ASV2254	0	0	0	0	0	0	0	Pro	p__Ciliophora	c__Colpodea	o__Platyophryida	f__Platyophryidae	g__Platyophrya	s__Platyophrya_sp.
ASV4290	0	0	0	0	0.00071623	0	0.000119372	Pro	p__Lobosa	c__Tubulinea	o__Leptomyxida	f__Leptomyxidae	g__unclassified_f__Leptomyxidae	s__unclassified_f__Leptomyxidae
ASV554	0	0	0	0	0	0	0	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Cercomonadida	f__Cercomonadidae	g__Cavernomonas	s__Cavernomonas_stercoris
ASV1993	0	0	0	0	0	0	0	Pro	p__Cercozoa	c__Filosa-Imbricatea	o__Thaumatomonadida	f__Peregriniidae	g__Peregrinia	s__unclassified_g__Peregrinia
ASV212	0	0.008021773	0	0	0	0	0.001336962	Pro	p__Ciliophora	c__Spirotrichea	o__Hypotrichia	f__Oxytrichidae	g__unclassified_f__Oxytrichidae	s__unclassified_f__Oxytrichidae
ASV657	0	0	0	0	0	0	0	Pro	p__Cercozoa	c__Cercozoa_X	o__Cercozoa_XX	f__Cercozoa_XXX	g__Cercozoa_XXXX	s__Cercozoa_XXXX_sp.
ASV2082	0	0	0	0	0	0	0	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Cercomonadida	f__Cercomonadidae	g__Cavernomonas	s__Cavernomonas_stercoris
ASV1379	0	0.003151411	0	0	0	0	0.000525235	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Glissomonadida	f__Sandonidae	g__unclassified_f__Sandonidae	s__unclassified_f__Sandonidae
ASV2121	0	0	0	0	0	0	0	Pro	p__unclassified_k__Opisthokonta	c__unclassified_k__Opisthokonta	o__unclassified_k__Opisthokonta	f__unclassified_k__Opisthokonta	g__unclassified_k__Opisthokonta	s__unclassified_k__Opisthokonta
ASV2486	0	0	0	0	0	0	0	Pro	p__Cercozoa	c__Filosa-Thecofilosea	o__unclassified_c__Filosa-Thecofilosea	f__unclassified_c__Filosa-Thecofilosea	g__unclassified_c__Filosa-Thecofilosea	s__unclassified_c__Filosa-Thecofilosea
ASV154	0.001718951	0.001002722	0.002291935	0.001862197	0.001718951	0.000859476	0.001575705	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Glissomonadida	f__Allapsidae	g__Allantion	s__Allantion_sp.
ASV2824	0.000429738	0	0	0	0	0	7.1623E-05	Pro	p__Apusomonadidae	c__Apusomonadidae_Group-1	o__Apusomonadidae_Group-1_X	f__Apusomonadidae_Group-1_XX	g__Amastigomonas	s__Amastigomonas_sp.
ASV1395	0.007162298	0.002435181	0.002578427	0.00071623	0.003294657	0	0.002697799	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Glissomonadida	f__Sandonidae	g__Neoheteromita	s__Neoheteromita_sp.
ASV1125	0	0	0	0	0	0	0	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Cercomonadida	f__Paracercomonadidae	g__Nucleocercomonas	s__Nucleocercomonas_praelonga
ASV669	0	0	0	0	0	0	0	Pro	p__Cercozoa	c__Filosa-Imbricatea	o__Euglyphida	f__Trinematidae	g__Trinema	s__unclassified_g__Trinema
ASV4251	0	0	0	0	0.001145968	0	0.000190995	Pro	p__Ciliophora	c__Spirotrichea	o__Hypotrichia	f__Oxytrichidae	g__unclassified_f__Oxytrichidae	s__unclassified_f__Oxytrichidae
